id	y	x	mean_alpha
6124	55.8378	13.3092	1.004804
6125	55.8403	13.3106	1.004804
6126	55.8411	13.3047	1.004804
6128	55.8397	13.2881	1.004804
6131	55.8369	13.3181	1.004804
6132	55.8386	13.3186	1.004804
6133	55.8364	13.2906	1.004804
6134	55.8383	13.2906	1.004804
6136	55.9336	13.5519	1.004804
6137	55.9419	13.5603	1.004804
6138	55.9403	13.5511	1.004804
6140	55.9392	13.5539	1.004804
6141	55.9414	13.5542	1.004804
6142	55.9428	13.5558	1.004804
6145	55.9497	13.5533	1.004804
6148	55.9319	13.5508	1.004804
6149	55.9281	13.5481	1.004804
6150	55.9261	13.5319	1.004804
6151	55.6528	13.2244	1.004804
6188	55.7683	14.1386	1.004804
6189	55.7686	14.1383	1.004804
6191	55.7689	14.1375	1.004804
6192	55.7692	14.1369	1.004804
6193	55.7694	14.1347	1.004804
6194	55.7706	14.1342	1.004804
6195	55.7708	14.1342	1.004804
6198	55.7708	14.1331	1.004804
6201	55.7719	14.1211	1.004804
6202	55.7717	14.1206	1.004804
6203	55.7714	14.1208	1.004804
6242	55.7	13.2	1.004804
6243	56.27373	13.90045	1.004804
6252	55.5796	14.3336	1.004804
6255	55.5796	14.334	1.004804
6258	55.5796	14.3336	1.004804
6268	55.5796	14.3336	1.004804
6276	55.5796	14.3336	1.004804
6284	55.5796	14.3336	1.004804
6413	56.06	13.97	1.004804
6680	51.85	6.4333	1.004398
6897	45	1.3	0.000000
6898	51.2167	4.4	1.004109
6907	51.4083	-0.6383	1.005712
6908	51.4083	-0.6383	1.005712
6915	50.3	6.3	1.004787
6919	50.3	8	1.004787
6920	51.5338	9.9355	1.004174
6922	50.3	8	1.004787
6923	51.4083	-0.6383	1.005712
6924	51.4083	-0.6383	1.005712
6932	47.984	10.8719	1.004297
6933	41.59	2.49	1.004258
6940	50.3	8.3	1.004787
6943	51.4083	-0.6383	1.005712
6944	51.4083	-0.6383	1.005712
6945	52.24	4.45	1.004109
6958	46	3.3	1.004961
6959	48.5	-1.41	0.000000
6960	48.5	-1.41	0.000000
6961	38.3333	-3.53333	1.004274
6966	51.4083	-0.6383	1.005712
6967	51.4083	-0.6383	1.005712
6970	41.7194	2.93056	1.002549
6971	41.7194	2.93056	1.002549
6973	56.0648	13.9707	1.004804
6974	56.0648	13.9707	1.004804
6975	48.3	14.45	1.002569
6976	48.3	14.45	1.002569
6979	47.25	8.26	0.000000
6982	52.3	9.3	1.004174
6986	57.1539	-2.2207	0.000000
6987	48.0683	7.62551	1.004787
6989	54.8	-2.4333	1.005253
6990	53.448	5.73	1.004398
6992	50.3	5.3	1.000939
6997	51.8333	5.5833	1.004109
7000	50.9167	9.57073	1.004174
7002	51.3333	6.1	1.004398
7003	47.5	7.5	1.004787
7008	52	5.675	1.004398
7013	52.4584	13.287	0.000000
7014	56.5459	-4.79821	1.005500
7025	44.5041	11.3396	1.003209
7026	54.4	-3.2667	1.005253
7028	49.5166	9.3166	1.004297
7031	50.0167	8.6667	1.004787
7036	50.5	9.5	1.004297
7058	54.1	-6.2	1.005500
7061	53.2699	-1.64293	1.005712
7062	50.2981	8.26607	1.004787
7064	51.3	1.1	1.004330
7067	37.3	15	1.003752
7068	42	12.1	1.004125
7071	48.0717	1.33867	1.003111
7077	40.12	-8.25	1.003752
7081	40.2077	-8.42639	1.003752
7092	49.416	2.823	1.000939
7094	49.8724	8.65081	1.004787
7096	47.3239	5.04278	1.004961
7102	50.7224	8.2372	1.004398
7106	51.051	13.7336	0.000000
7107	54.7761	-1.5733	1.005253
7109	51.3	0.5	1.004330
7111	55.9494	-3.16028	1.005253
7117	51.5105	9.68253	1.004174
7119	50	8.5	1.004787
7120	50	8.5	1.004787
7125	49.5955	11.0087	1.004297
7130	44.6447	2.56481	1.004961
7133	50.1102	8.6822	1.004787
7138	50.5	8.0167	1.004787
7143	51.0167	5.86667	1.004398
7147	50.584	8.67825	1.004787
7161	53.5	10.5	1.004174
7162	52.24	9.44	1.004174
7163	52.3721	9.73569	1.004174
7164	55.675	12.5686	1.004804
7165	51.3472	8.28844	1.004398
7169	54.4175	9.88682	0.000000
7177	49	15	0.000000
7181	50.927	11.587	1.004174
7192	55.6395	-5.66364	1.005500
7199	50.95	6.9666	1.004398
7202	50.1797	8.50861	1.004787
7203	49.631	11.5722	1.004297
7208	55.6739	-3.78181	1.005500
7213	47.984	10.8719	1.004297
7217	48	0.5	1.003111
7218	52.1611	4.49015	1.004109
7223	50.3833	8.0666	1.004787
7231	50.3833	8.0666	1.004787
7244	50.001	8.26664	1.004787
7250	51.9183	10.1138	1.004174
7258	50.5	8.5	1.004787
7268	52.6969	10.981	1.004174
7273	51.0581	13.2995	0.000000
7276	50.2	8.5833	1.004787
7280	53.1667	8.2	1.004398
7282	50.3827	8.01161	1.004787
7287	53.3422	8.42255	1.004398
7298	47.04	10.51	1.003209
7305	53.476	10.6065	1.004174
7307	48.0653	-2.96591	0.000000
7314	54.3512	-3.41697	1.005253
7316	51.9667	5.56667	1.004109
7319	42	12.1	1.004125
7320	49.4424	1.09849	1.003111
7327	41.7833	3.03333	1.002549
7328	41.7833	3.03333	1.002549
7333	46.5438	11.5614	1.003209
7337	50.8738	8.02341	1.004398
7342	53.6473	-3.00733	1.005712
7343	52.5339	13.181	0.000000
7344	47.6667	9.5	1.004297
7346	52.6058	11.8558	1.004174
7349	49.5	14.5	1.002569
7353	52.08	4.3	1.004109
7354	56.5	14.9	1.004804
7372	47.0748	9.9042	1.003209
7378	48.0333	7.7667	1.004787
7382	52.0918	5.1145	1.004109
7384	52.0333	5.55	1.004109
7387	54.9902	-2.3671	1.005253
7404	52.6	10.0667	1.004174
7411	47.9299	10.8134	1.004297
7415	49.7878	9.9361	1.004297
7417	47.3667	8.55	0.000000
7418	47.3667	8.55	0.000000
7419	50.3058	8.32213	1.004787
7430	48.6167	6.25	1.004787
7461	49	15	0.000000
7516	55.58	14.334	1.004804
7517	55.58	14.334	1.004804
8214	49	2	1.003111
8222	56.0328	14.775	1.004804
8237	55.8	13.1	1.004804
8238	51.15	0.4	1.004330
8239	51	7	1.004398
8240	55.705	13.196	1.004804
8241	55.9473	13.821	1.004804
8243	43.7703	11.2547	0.000000
8244	48.6103	2.3086	1.003111
8247	56.07	13.74	1.004804
8256	56.4	12.9	1.004804
8258	56.4	12.9	1.004804
8259	56.4	12.9	1.004804
8264	41.6833	2.8	1.002549
8283	55.76	14.12	1.004804
8290	50	8.5	1.004787
8297	46.5	6.08	0.000000
8306	56.1	13.74	1.004804
8307	56.1	13.74	1.004804
8311	47.5	11.5	1.004297
8312	50.5	7.5	1.004787
8326	56.0328	14.775	1.004804
8334	55.71	13.2	1.004804
8335	55.71	13.2	1.004804
8337	44	12.37	1.004125
8343	47.5	1.5	1.003111
